Timestamp,last hour   
2018-10-02T10:49:45+00:00,96.30666667
2018-10-02T10:50:00+00:00,98.56
2018-10-02T10:50:15+00:00,96.29333333
2018-10-02T10:50:30+00:00,94.05333333
2018-10-02T10:50:45+00:00,95.85333333
2018-10-02T10:51:00+00:00,98.7
2018-10-02T10:51:15+00:00,99.40666667
2018-10-02T10:51:30+00:00,98.46
2018-10-02T10:51:45+00:00,98.01333333
2018-10-02T10:52:00+00:00,98.44
2018-10-02T10:52:15+00:00,95.6
2018-10-02T10:52:30+00:00,95.43333333
2018-10-02T10:52:45+00:00,99.42
2018-10-02T10:53:00+00:00,97.28
2018-10-02T10:53:15+00:00,96.66
2018-10-02T10:53:30+00:00,98.92
2018-10-02T10:53:45+00:00,93.78
2018-10-02T10:54:00+00:00,92.48
2018-10-02T10:54:15+00:00,97.2
2018-10-02T10:54:30+00:00,94.48
2018-10-02T10:54:45+00:00,98.56666667
2018-10-02T10:55:00+00:00,98.5
2018-10-02T10:55:15+00:00,97.73333333
2018-10-02T10:55:30+00:00,99.46666667
2018-10-02T10:55:45+00:00,98.66666667
2018-10-02T10:56:00+00:00,95.94666667
2018-10-02T10:56:15+00:00,95.2
2018-10-02T10:56:30+00:00,99.46666667
2018-10-02T10:56:45+00:00,98.91333333
2018-10-02T10:57:00+00:00,98.64
2018-10-02T10:57:15+00:00,98.06
2018-10-02T10:57:30+00:00,92.91333333
2018-10-02T10:57:45+00:00,99.4
2018-10-02T10:58:00+00:00,97.69333333
